nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 MNIST-M    | Train Loss: 0.1031 | Train Acc: 0.9973
 MNIST      | Test  Loss: 0.1779 | Test  Acc: 0.9578
 SVHN       | Test  Loss: 1.0298 | Test  Acc: 0.6788
 USPS       | Test  Loss: 0.1683 | Test  Acc: 0.9575
 SynthDigits| Test  Loss: 0.6699 | Test  Acc: 0.8010
 MNIST-M    | Test  Loss: 0.7464 | Test  Acc: 0.7751
============ Train epoch 19 ============
 MNIST      | Train Loss: 0.0367 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.1332 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0372 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0929 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0984 | Train Acc: 0.9973
 MNIST      | Test  Loss: 0.1700 | Test  Acc: 0.9619
 SVHN       | Test  Loss: 0.9928 | Test  Acc: 0.6909
 USPS       | Test  Loss: 0.1687 | Test  Acc: 0.9602
 SynthDigits| Test  Loss: 0.6458 | Test  Acc: 0.8086
 MNIST-M    | Test  Loss: 0.7432 | Test  Acc: 0.7787
============ Train epoch 20 ============
 MNIST      | Train Loss: 0.0340 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.1262 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0278 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0883 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0879 | Train Acc: 0.9960
 MNIST      | Test  Loss: 0.1697 | Test  Acc: 0.9603
 SVHN       | Test  Loss: 0.9978 | Test  Acc: 0.6920
 USPS       | Test  Loss: 0.1599 | Test  Acc: 0.9597
 SynthDigits| Test  Loss: 0.6556 | Test  Acc: 0.8041
 MNIST-M    | Test  Loss: 0.7406 | Test  Acc: 0.7753
============ Train epoch 21 ============
 MNIST      | Train Loss: 0.0304 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.1126 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0300 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0768 | Train Acc: 0.9973
 MNIST-M    | Train Loss: 0.0814 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1674 | Test  Acc: 0.9610
 SVHN       | Test  Loss: 0.9967 | Test  Acc: 0.6885
 USPS       | Test  Loss: 0.1664 | Test  Acc: 0.9602
 SynthDigits| Test  Loss: 0.6540 | Test  Acc: 0.8024
 MNIST-M    | Test  Loss: 0.7414 | Test  Acc: 0.7771
============ Train epoch 22 ============
 MNIST      | Train Loss: 0.0218 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0981 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0214 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0647 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0685 | Train Acc: 0.9973
 MNIST      | Test  Loss: 0.1488 | Test  Acc: 0.9621
 SVHN       | Test  Loss: 0.9758 | Test  Acc: 0.6968
 USPS       | Test  Loss: 0.1489 | Test  Acc: 0.9602
 SynthDigits| Test  Loss: 0.6401 | Test  Acc: 0.8048
 MNIST-M    | Test  Loss: 0.7257 | Test  Acc: 0.7776
============ Train epoch 23 ============
 MNIST      | Train Loss: 0.0257 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0931 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0222 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0614 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0651 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1621 | Test  Acc: 0.9613
 SVHN       | Test  Loss: 0.9891 | Test  Acc: 0.6878
 USPS       | Test  Loss: 0.1546 | Test  Acc: 0.9618
 SynthDigits| Test  Loss: 0.6258 | Test  Acc: 0.8099
 MNIST-M    | Test  Loss: 0.7121 | Test  Acc: 0.7823
============ Train epoch 24 ============
 MNIST      | Train Loss: 0.0259 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0893 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0255 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0544 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0573 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1725 | Test  Acc: 0.9561
 SVHN       | Test  Loss: 1.0060 | Test  Acc: 0.6833
 USPS       | Test  Loss: 0.1595 | Test  Acc: 0.9570
 SynthDigits| Test  Loss: 0.6210 | Test  Acc: 0.8101
 MNIST-M    | Test  Loss: 0.7032 | Test  Acc: 0.7836
============ Train epoch 25 ============
 MNIST      | Train Loss: 0.0244 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0762 | Train Acc: 0.9987
 USPS       | Train Loss: 0.0224 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0503 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0596 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1657 | Test  Acc: 0.9584
 SVHN       | Test  Loss: 0.9748 | Test  Acc: 0.6950
 USPS       | Test  Loss: 0.1589 | Test  Acc: 0.9597
 SynthDigits| Test  Loss: 0.6230 | Test  Acc: 0.8113
 MNIST-M    | Test  Loss: 0.7168 | Test  Acc: 0.7819
============ Train epoch 26 ============
 MNIST      | Train Loss: 0.0198 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0680 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0211 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0456 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0474 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1536 | Test  Acc: 0.9609
 SVHN       | Test  Loss: 0.9605 | Test  Acc: 0.6980
 USPS       | Test  Loss: 0.1447 | Test  Acc: 0.9634
 SynthDigits| Test  Loss: 0.6194 | Test  Acc: 0.8095
 MNIST-M    | Test  Loss: 0.6984 | Test  Acc: 0.7841
============ Train epoch 27 ============
 MNIST      | Train Loss: 0.0198 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0799 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0171 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0475 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0511 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1487 | Test  Acc: 0.9616
 SVHN       | Test  Loss: 0.9812 | Test  Acc: 0.6913
 USPS       | Test  Loss: 0.1490 | Test  Acc: 0.9602
 SynthDigits| Test  Loss: 0.6309 | Test  Acc: 0.8077
 MNIST-M    | Test  Loss: 0.7104 | Test  Acc: 0.7838
============ Train epoch 28 ============
 MNIST      | Train Loss: 0.0161 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0575 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0176 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0410 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0434 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1432 | Test  Acc: 0.9631
 SVHN       | Test  Loss: 0.9551 | Test  Acc: 0.7042
 USPS       | Test  Loss: 0.1420 | Test  Acc: 0.9597
 SynthDigits| Test  Loss: 0.6085 | Test  Acc: 0.8143
 MNIST-M    | Test  Loss: 0.6903 | Test  Acc: 0.7881
============ Train epoch 29 ============
 MNIST      | Train Loss: 0.0131 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0460 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0135 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0388 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0395 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1388 | Test  Acc: 0.9641
 SVHN       | Test  Loss: 0.9417 | Test  Acc: 0.7050
 USPS       | Test  Loss: 0.1444 | Test  Acc: 0.9591
 SynthDigits| Test  Loss: 0.6182 | Test  Acc: 0.8095
 MNIST-M    | Test  Loss: 0.6980 | Test  Acc: 0.7825
============ Train epoch 30 ============
 MNIST      | Train Loss: 0.0184 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0488 | Train Acc: 1.0000
 USPS       | Train Loss: 0.0170 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0378 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0406 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1460 | Test  Acc: 0.9631
 SVHN       | Test  Loss: 0.9434 | Test  Acc: 0.7014
 USPS       | Test  Loss: 0.1511 | Test  Acc: 0.9597
 SynthDigits| Test  Loss: 0.6037 | Test  Acc: 0.8146
 MNIST-M    | Test  Loss: 0.6951 | Test  Acc: 0.7829
============ Train epoch 31 ============
