nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 MNIST-M    | Train Loss: 0.1374 | Train Acc: 0.9973
 MNIST      | Test  Loss: 0.1790 | Test  Acc: 0.9544
 SVHN       | Test  Loss: 1.2217 | Test  Acc: 0.6031
 USPS       | Test  Loss: 0.2206 | Test  Acc: 0.9376
 SynthDigits| Test  Loss: 0.7037 | Test  Acc: 0.7790
 MNIST-M    | Test  Loss: 0.7821 | Test  Acc: 0.7526
============ Train epoch 20 ============
 MNIST      | Train Loss: 0.0472 | Train Acc: 0.9987
 SVHN       | Train Loss: 0.5399 | Train Acc: 0.9112
 USPS       | Train Loss: 0.0482 | Train Acc: 0.9960
 SynthDigits| Train Loss: 0.1154 | Train Acc: 0.9906
 MNIST-M    | Train Loss: 0.1006 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1789 | Test  Acc: 0.9501
 SVHN       | Test  Loss: 1.2332 | Test  Acc: 0.5949
 USPS       | Test  Loss: 0.2034 | Test  Acc: 0.9435
 SynthDigits| Test  Loss: 0.6638 | Test  Acc: 0.7897
 MNIST-M    | Test  Loss: 0.7417 | Test  Acc: 0.7696
============ Train epoch 21 ============
 MNIST      | Train Loss: 0.0512 | Train Acc: 0.9960
 SVHN       | Train Loss: 0.4913 | Train Acc: 0.9260
 USPS       | Train Loss: 0.0455 | Train Acc: 0.9946
 SynthDigits| Train Loss: 0.1063 | Train Acc: 0.9933
 MNIST-M    | Train Loss: 0.1165 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1844 | Test  Acc: 0.9497
 SVHN       | Test  Loss: 1.1809 | Test  Acc: 0.6179
 USPS       | Test  Loss: 0.1932 | Test  Acc: 0.9489
 SynthDigits| Test  Loss: 0.6538 | Test  Acc: 0.7940
 MNIST-M    | Test  Loss: 0.7956 | Test  Acc: 0.7438
============ Train epoch 22 ============
 MNIST      | Train Loss: 0.0331 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.5337 | Train Acc: 0.8843
 USPS       | Train Loss: 0.0511 | Train Acc: 0.9892
 SynthDigits| Train Loss: 0.1053 | Train Acc: 0.9933
 MNIST-M    | Train Loss: 0.0832 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1600 | Test  Acc: 0.9583
 SVHN       | Test  Loss: 1.2673 | Test  Acc: 0.5835
 USPS       | Test  Loss: 0.1952 | Test  Acc: 0.9452
 SynthDigits| Test  Loss: 0.6648 | Test  Acc: 0.7864
 MNIST-M    | Test  Loss: 0.7112 | Test  Acc: 0.7759
============ Train epoch 23 ============
 MNIST      | Train Loss: 0.0391 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.4943 | Train Acc: 0.9125
 USPS       | Train Loss: 0.0419 | Train Acc: 0.9946
 SynthDigits| Train Loss: 0.1096 | Train Acc: 0.9906
 MNIST-M    | Train Loss: 0.0962 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1653 | Test  Acc: 0.9534
 SVHN       | Test  Loss: 1.2291 | Test  Acc: 0.5970
 USPS       | Test  Loss: 0.1910 | Test  Acc: 0.9489
 SynthDigits| Test  Loss: 0.6501 | Test  Acc: 0.7934
 MNIST-M    | Test  Loss: 0.7414 | Test  Acc: 0.7634
============ Train epoch 24 ============
