nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 SVHN       | Train Loss: 0.4884 | Train Acc: 0.9031
 USPS       | Train Loss: 0.0415 | Train Acc: 0.9933
 SynthDigits| Train Loss: 0.0784 | Train Acc: 0.9973
 MNIST-M    | Train Loss: 0.0882 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1817 | Test  Acc: 0.9531
 SVHN       | Test  Loss: 1.2213 | Test  Acc: 0.5987
 USPS       | Test  Loss: 0.2006 | Test  Acc: 0.9419
 SynthDigits| Test  Loss: 0.6389 | Test  Acc: 0.7983
 MNIST-M    | Test  Loss: 0.7580 | Test  Acc: 0.7544
============ Train epoch 28 ============
 MNIST      | Train Loss: 0.0424 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.4135 | Train Acc: 0.9354
 USPS       | Train Loss: 0.0362 | Train Acc: 0.9906
 SynthDigits| Train Loss: 0.0598 | Train Acc: 0.9973
 MNIST-M    | Train Loss: 0.0713 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1612 | Test  Acc: 0.9593
 SVHN       | Test  Loss: 1.1749 | Test  Acc: 0.6168
 USPS       | Test  Loss: 0.1968 | Test  Acc: 0.9457
 SynthDigits| Test  Loss: 0.6200 | Test  Acc: 0.8040
 MNIST-M    | Test  Loss: 0.7481 | Test  Acc: 0.7581
============ Train epoch 29 ============
 MNIST      | Train Loss: 0.0561 | Train Acc: 0.9960
 SVHN       | Train Loss: 0.4523 | Train Acc: 0.9341
 USPS       | Train Loss: 0.0474 | Train Acc: 0.9906
 SynthDigits| Train Loss: 0.0775 | Train Acc: 0.9973
 MNIST-M    | Train Loss: 0.0950 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1855 | Test  Acc: 0.9496
 SVHN       | Test  Loss: 1.1831 | Test  Acc: 0.6149
 USPS       | Test  Loss: 0.1999 | Test  Acc: 0.9435
 SynthDigits| Test  Loss: 0.6312 | Test  Acc: 0.8007
 MNIST-M    | Test  Loss: 0.7897 | Test  Acc: 0.7429
============ Train epoch 30 ============
 MNIST      | Train Loss: 0.0270 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.3894 | Train Acc: 0.9381
 USPS       | Train Loss: 0.0335 | Train Acc: 0.9933
 SynthDigits| Train Loss: 0.0522 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0612 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1491 | Test  Acc: 0.9594
 SVHN       | Test  Loss: 1.1377 | Test  Acc: 0.6306
 USPS       | Test  Loss: 0.1935 | Test  Acc: 0.9468
 SynthDigits| Test  Loss: 0.6192 | Test  Acc: 0.8034
 MNIST-M    | Test  Loss: 0.7286 | Test  Acc: 0.7636
============ Train epoch 31 ============
 MNIST      | Train Loss: 0.0232 | Train Acc: 0.9987
 SVHN       | Train Loss: 0.3906 | Train Acc: 0.9381
 USPS       | Train Loss: 0.0335 | Train Acc: 0.9960
 SynthDigits| Train Loss: 0.0535 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0594 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1534 | Test  Acc: 0.9582
 SVHN       | Test  Loss: 1.1617 | Test  Acc: 0.6218
 USPS       | Test  Loss: 0.1951 | Test  Acc: 0.9473
 SynthDigits| Test  Loss: 0.6242 | Test  Acc: 0.8024
 MNIST-M    | Test  Loss: 0.7319 | Test  Acc: 0.7584
============ Train epoch 32 ============
 MNIST      | Train Loss: 0.0198 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.3993 | Train Acc: 0.9300
 USPS       | Train Loss: 0.0351 | Train Acc: 0.9946
 SynthDigits| Train Loss: 0.0500 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0518 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1448 | Test  Acc: 0.9594
 SVHN       | Test  Loss: 1.1872 | Test  Acc: 0.6095
