nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 MNIST-M    | Train Loss: 0.1167 | Train Acc: 0.9973
 MNIST      | Test  Loss: 0.1744 | Test  Acc: 0.9564
 SVHN       | Test  Loss: 1.0393 | Test  Acc: 0.6767
 USPS       | Test  Loss: 0.1713 | Test  Acc: 0.9500
 SynthDigits| Test  Loss: 0.6824 | Test  Acc: 0.7912
 MNIST-M    | Test  Loss: 0.7479 | Test  Acc: 0.7696
============ Train epoch 16 ============
 MNIST      | Train Loss: 0.0576 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.2030 | Train Acc: 0.9960
 USPS       | Train Loss: 0.0512 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.1242 | Train Acc: 0.9973
 MNIST-M    | Train Loss: 0.1176 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1894 | Test  Acc: 0.9549
 SVHN       | Test  Loss: 1.0101 | Test  Acc: 0.6861
 USPS       | Test  Loss: 0.1868 | Test  Acc: 0.9489
 SynthDigits| Test  Loss: 0.6677 | Test  Acc: 0.7981
 MNIST-M    | Test  Loss: 0.7520 | Test  Acc: 0.7681
============ Train epoch 17 ============
 MNIST      | Train Loss: 0.0377 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.1619 | Train Acc: 0.9987
 USPS       | Train Loss: 0.0402 | Train Acc: 0.9987
 SynthDigits| Train Loss: 0.1096 | Train Acc: 0.9960
 MNIST-M    | Train Loss: 0.0976 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1774 | Test  Acc: 0.9536
 SVHN       | Test  Loss: 0.9949 | Test  Acc: 0.6921
 USPS       | Test  Loss: 0.1702 | Test  Acc: 0.9522
 SynthDigits| Test  Loss: 0.6823 | Test  Acc: 0.7862
 MNIST-M    | Test  Loss: 0.7294 | Test  Acc: 0.7764
============ Train epoch 18 ============
 MNIST      | Train Loss: 0.0313 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.1526 | Train Acc: 0.9946
 USPS       | Train Loss: 0.0385 | Train Acc: 0.9987
 SynthDigits| Train Loss: 0.1008 | Train Acc: 1.0000
 MNIST-M    | Train Loss: 0.0850 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1558 | Test  Acc: 0.9611
 SVHN       | Test  Loss: 0.9802 | Test  Acc: 0.6926
 USPS       | Test  Loss: 0.1744 | Test  Acc: 0.9554
 SynthDigits| Test  Loss: 0.6573 | Test  Acc: 0.7977
 MNIST-M    | Test  Loss: 0.7377 | Test  Acc: 0.7714
============ Train epoch 19 ============
 MNIST      | Train Loss: 0.0293 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.1460 | Train Acc: 0.9960
 USPS       | Train Loss: 0.0335 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0980 | Train Acc: 0.9973
 MNIST-M    | Train Loss: 0.0791 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1607 | Test  Acc: 0.9564
 SVHN       | Test  Loss: 0.9945 | Test  Acc: 0.6876
 USPS       | Test  Loss: 0.1723 | Test  Acc: 0.9538
 SynthDigits| Test  Loss: 0.6714 | Test  Acc: 0.7927
 MNIST-M    | Test  Loss: 0.7276 | Test  Acc: 0.7704
============ Train epoch 20 ============
 MNIST      | Train Loss: 0.0236 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0993 | Train Acc: 0.9973
 USPS       | Train Loss: 0.0177 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0794 | Train Acc: 0.9973
 MNIST-M    | Train Loss: 0.0616 | Train Acc: 0.9987
 MNIST      | Test  Loss: 0.1573 | Test  Acc: 0.9556
 SVHN       | Test  Loss: 0.9735 | Test  Acc: 0.6922
 USPS       | Test  Loss: 0.1516 | Test  Acc: 0.9597
 SynthDigits| Test  Loss: 0.6505 | Test  Acc: 0.7970
 MNIST-M    | Test  Loss: 0.6996 | Test  Acc: 0.7765
============ Train epoch 21 ============
 MNIST      | Train Loss: 0.0251 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.1096 | Train Acc: 0.9973
 USPS       | Train Loss: 0.0223 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0845 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0764 | Train Acc: 0.9973
 MNIST      | Test  Loss: 0.1567 | Test  Acc: 0.9569
 SVHN       | Test  Loss: 0.9730 | Test  Acc: 0.6893
 USPS       | Test  Loss: 0.1509 | Test  Acc: 0.9581
 SynthDigits| Test  Loss: 0.6488 | Test  Acc: 0.7978
 MNIST-M    | Test  Loss: 0.7573 | Test  Acc: 0.7548
============ Train epoch 22 ============
 MNIST      | Train Loss: 0.0213 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0914 | Train Acc: 0.9987
 USPS       | Train Loss: 0.0166 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0638 | Train Acc: 0.9973
 MNIST-M    | Train Loss: 0.0505 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1557 | Test  Acc: 0.9564
 SVHN       | Test  Loss: 0.9859 | Test  Acc: 0.6808
 USPS       | Test  Loss: 0.1470 | Test  Acc: 0.9591
 SynthDigits| Test  Loss: 0.6279 | Test  Acc: 0.8025
 MNIST-M    | Test  Loss: 0.6969 | Test  Acc: 0.7732
============ Train epoch 23 ============
 MNIST      | Train Loss: 0.0158 | Train Acc: 1.0000
 SVHN       | Train Loss: 0.0794 | Train Acc: 0.9987
 USPS       | Train Loss: 0.0178 | Train Acc: 1.0000
 SynthDigits| Train Loss: 0.0578 | Train Acc: 0.9987
 MNIST-M    | Train Loss: 0.0594 | Train Acc: 1.0000
 MNIST      | Test  Loss: 0.1362 | Test  Acc: 0.9611
